TABLE_NAME,COLUMN_NAME,DATA_TYPE,COMMENT
CONTACTS,IS_CURRENT,BOOLEAN,Indicates the most recent currently active contacts for a given establishment. Note: The is_current status will always be FALSE for closed establishments
CONTACTS,EMAIL_TEST_DATE,DATE,When the email was last tested
CONTACTS,COMPANY_NAME,TEXT,"Establishment owner name, if different than Establishment name"
CONTACTS,CONTACT_ID,TEXT,Unique ID of the contact
CONTACTS,EMAIL,TEXT,Contact email address
CONTACTS,EMAIL_TEST_RESULT,TEXT,Result of the last email test
CONTACTS,EMAIL_TYPE,TEXT,Indicates a direct or role-based email address
CONTACTS,ESTABLISHMENT_ID,TEXT,Unique ID of the related establishment
CONTACTS,FIRST_NAME,TEXT,Contact first name
CONTACTS,FIRST_SEEN,TEXT,Date contact was added to Brizo FoodMetrics
CONTACTS,LAST_NAME,TEXT,Contact last name
CONTACTS,LAST_SEEN,TEXT,Last date contact was seen on source
CONTACTS,LEVEL,TEXT,Contact level of experience
CONTACTS,LINKEDIN,TEXT,LinkedIn profile URL
CONTACTS,LOCATION,TEXT,parent-level or establishement-level
CONTACTS,NAME,TEXT,Contact first and last name
CONTACTS,PHONE,TEXT,Contact phone number
CONTACTS,ROLE,TEXT,Contact role ex: Finance or Marketing etc.
CONTACTS,TITLE,TEXT,Contact title
CONTACTS,UNIQUE_ID,TEXT,Unique ID of the record
CONTACTS,COMPANY_LOCATION,VARIANT,"Street, unit, city, state code, zip of Company Name"
CONTACTS,RECORDS,VARIANT,Concatenation of multiple contact fields
ENTITIES,SCORE,NUMBER,Percentage score of matched ingredient (score can be 100 for extracted items and maximum of 99 for predicted)
ENTITIES,CATEGORY,TEXT,Category of entity
ENTITIES,ENTITY_ID,TEXT,Brizo entity ID
ENTITIES,MENU_ITEM_ID,TEXT,Unique item id
ENTITIES,NAME,TEXT,Name of matched entity
ENTITIES,SUBCATEGORY,TEXT,Subcategory of entity
ENTITIES,TYPE,TEXT,Entity type
ENTITIES,MATCHES,VARIANT,Matched entity tag
ENTITIES,VARIANT,VARIANT,Attributes of entity
ESTABLISHMENTS_CLOSED,CLOSED_DATE,DATE,Date Brizo identified the establishment as closed
ESTABLISHMENTS_CLOSED,FIRST_SEEN,DATE,Date establishment was first seen by Brizo
ESTABLISHMENTS_CLOSED,ALTERNATE_NAME,TEXT,Alternate name or parent corporation
ESTABLISHMENTS_CLOSED,CHAIN_ID,TEXT,Unique identifier generated for each individual chain
ESTABLISHMENTS_CLOSED,CHAIN_NAME,TEXT,Name of the restaurant chain
ESTABLISHMENTS_CLOSED,CHAIN_URL,TEXT,URL of the restaurant chain
ESTABLISHMENTS_CLOSED,ESTABLISHMENT_ID,TEXT,Unique identification number generated for each individual establishment
ESTABLISHMENTS_CLOSED,LOCATION_CITY,TEXT,Establishment city location
ESTABLISHMENTS_CLOSED,LOCATION_COUNTRY_CODE,TEXT,Establishment country location
ESTABLISHMENTS_CLOSED,LOCATION_STATE_CODE,TEXT,Establishment state location
ESTABLISHMENTS_CLOSED,LOCATION_STREET,TEXT,Establishment street address
ESTABLISHMENTS_CLOSED,LOCATION_UNIT,TEXT,Establishment unit/suite/apartment number
ESTABLISHMENTS_CLOSED,LOCATION_ZIP,TEXT,Establishment zip code
ESTABLISHMENTS_CLOSED,MD5,TEXT,MD5 of JSON file
ESTABLISHMENTS_CLOSED,NAME,TEXT,Name of the establishment
ESTABLISHMENTS_CLOSED,PARENT_NAME,TEXT,Name of the parent company
ESTABLISHMENTS_CLOSED,STATUS,TEXT,Indicates if establishment is open or closed
ESTABLISHMENTS_CLOSED,WEBSITE,TEXT,Establishment URL
ESTABLISHMENTS_CLOSED,UPDATED,TIMESTAMP_NTZ,Most recent date the establishment was updated in BFM database
ESTABLISHMENTS_OPEN,FIRST_SEEN,DATE,Date establishment was first seen by Brizo
ESTABLISHMENTS_OPEN,LAST_REVIEWED,DATE,Date of most recent review seen by Brizo
ESTABLISHMENTS_OPEN,LOCATION_LATITUDE,FLOAT,Establishment latitude
ESTABLISHMENTS_OPEN,LOCATION_LONGITUDE,FLOAT,Establishment longitude
ESTABLISHMENTS_OPEN,SCORE,FLOAT,Weighted average score accross all review sites
ESTABLISHMENTS_OPEN,SCORE_CHANGE,FLOAT,Recent change in score
ESTABLISHMENTS_OPEN,CHAIN_NATIONWIDE_LOCATIONS,NUMBER,Number of locations at the national level for the chain
ESTABLISHMENTS_OPEN,ESTABLISHED,NUMBER,Establishment's year established
ESTABLISHMENTS_OPEN,LOCATION_DENSITY_0M,NUMBER,Number of establishments at the same address
